variant;run;score;time_ms;iterations;states
standard;729;23036;64.425;33.0;34
standard;730;22967;56.766;29.0;30
standard;731;22976;43.156;31.0;32
standard;732;23078;62.559;33.0;34
standard;733;23132;43.218;35.0;36
standard;734;23243;34.662;31.0;32
standard;735;23119;60.304;34.0;35
standard;736;23111;43.475;33.0;34
standard;737;22966;49.257;34.0;35
standard;738;23238;44.130;33.0;34
standard;739;23102;60.459;31.0;32
standard;740;23257;72.191;34.0;35
standard;741;23093;45.049;33.0;34
standard;742;22938;37.758;33.0;34
standard;743;23041;48.745;33.0;34
standard;744;23148;45.648;33.0;34
standard;745;23168;78.349;31.0;32
standard;746;23049;68.809;32.0;33
standard;747;23175;58.818;32.0;33
standard;748;23104;56.100;34.0;35
standard;749;22816;64.545;32.0;33
standard;750;23216;42.747;33.0;34
standard;751;23145;62.701;33.0;34
standard;752;23241;37.371;33.0;34
standard;753;23261;58.873;32.0;33
standard;754;23011;63.425;34.0;35
standard;755;23256;39.242;34.0;35
standard;756;23220;41.489;31.0;32
standard;757;23034;45.521;32.0;33
standard;758;23258;42.877;33.0;34
standard;759;23155;40.963;34.0;35
standard;760;23030;36.827;33.0;34
standard;761;22992;70.408;33.0;34
standard;762;23183;36.768;34.0;35
standard;763;23171;59.974;32.0;33
standard;764;23159;66.718;36.0;37
standard;765;23143;63.968;33.0;34
standard;766;22955;58.626;29.0;30
standard;767;23143;65.114;33.0;34
standard;768;23073;60.498;32.0;33
standard;769;23150;45.487;34.0;35
